source,expert,quote,emotion_label,emotion_score,persuasion_score
222,Professor Hart,"Professor Hart, as it happens, won the Nobel  in economic sciences last year for his work in studying precisely these sorts of contracts: When are they more likely to work?",neutral,0.7745752334594727,0.0
222,Professor Hart,"Indeed, one of Professor Hart’s seminal papers, produced together with Andrei Shleifer and Robert Vishny nearly 20 years ago, suggested that while things like garbage collection or weapons production were quite suitable for private provision, the government would probably do a better job tackling tasks like foreign policy, the police and   …     prisons.",neutral,0.586810290813446,0.019
307,Professor Qu,"“That’s why there are so many parents sending their kids for electroshock therapy, even when outsiders think it’s wrong to do so,” Professor Qu said.",neutral,0.4948076605796814,0.0
325,Professor Gates,"Professor Gates, for one, was pleased.",joy,0.9645646810531616,0.0
325,Ms Jarrett,"“He said, ‘That’s what we need to recognize here, the ability of people to forgive on the worst day of their lives.’ It really struck him,” Ms Jarrett recalled.",disgust,0.6465142369270325,0.0
359,Professor Pearce,"But individual targets of kompromat are not its only victims, Professor Pearce said.",neutral,0.9082854986190796,0.0
359,Professor Pearce,"“There’s no reliable truth to rest upon,” Professor Pearce said.",neutral,0.3113976716995239,0.0
359,Professor Pearce,(His conviction was later vacated on procedural grounds.) Professor Pearce said she saw parallels between the use of kompromat overseas and recent news in the United States.,neutral,0.7803345322608948,0.0
359,Professor Pearce,"In the United States, Professor Pearce said, “grabbing on and holding to the truth is becoming more challenging.",neutral,0.3759053647518158,0.0
390,Ms Mercer,"Robinson, a chemistry professor who unsuccessfully ran for Congress in Oregon and received $15, 000 in campaign contributions from Ms Mercer.",neutral,0.34227412939071655,0.0
484,Professor Mollin,"“In the aftermath of that march, Nixon escalates the war,” Professor Mollin said.",disgust,0.8552316427230835,0.0
516,Professor Alhaji Dr,(for “his excellency”) Sheikh Professor Alhaji Dr.,joy,0.4591621160507202,0.0
535,Professor Ruan,” Professor Ruan remembers his teenage years in a Shanghai shikumen fondly.,disgust,0.4229339063167572,0.0
535,Professor Ruan,"” The shikumen, Professor Ruan believes, forged the character of the Shanghainese.",neutral,0.8060197830200195,0.0
535,Professor Ruan,"(Holdouts found themselves harassed, and in a few notorious cases even killed, by construction crews.) Professor Ruan believes that only 200, 000 Shanghai residents continue to live in alleyway complexes.",disgust,0.40196332335472107,0.0
656,Professor Donner,"The French Polynesia project would effectively be a “cruise ship,” Professor Donner said.",neutral,0.8916763067245483,0.077
658,Professor Wilder,"” “That informal network is how you access news about where you can move,” Professor Wilder said, “where black people are moving and welcome.",neutral,0.9565602540969849,0.0
663,Ms Murray,"Ms Murray replied with an announcement telling people to send emails, instead.",neutral,0.8459944725036621,0.0
669,Professor Michel,But Professor Michel said the visas for the student and his wife had been indefinitely suspended.,sadness,0.44551095366477966,0.0
669,Professor Michel,"“This outstanding young scientist has enormous potential to make contributions that will improve our understanding of heart disease, and he has already been thoroughly vetted,” Professor Michel wrote to The New York Times.",neutral,0.8790506720542908,0.03
670,Professor Spiro,"” The provision “gives the president capacious authority to deny entry to any alien or class of aliens,” Professor Spiro said.",disgust,0.8209561705589294,0.0
671,Professor Rahmandad,Professor Rahmandad set up a Google form for people from countries affected by the immigration order to report and share their experiences attempting to travel to the U.,neutral,0.9010904431343079,0.0
671,Professor Michel,"Saravi and his wife were suspended, Professor Michel said.",sadness,0.5308089852333069,0.0
671,Professor Michel,"“This outstanding young scientist has enormous potential to make contributions that will improve our understanding of heart disease, and he has already been thoroughly vetted,” Professor Michel wrote to The New York Times.",neutral,0.8790506720542908,0.03
679,Professor Murphy,"“Familial searching is just an   around these debates,” said Professor Murphy, the author of “Inside the Cell: The Dark Side of Forensic DNA.",neutral,0.4683956503868103,0.0
746,Professor Mc,"“He’s a Westerner,” Professor McConnell said.",neutral,0.8185847997665405,0.0
756,Professor Dufour,Professor Dufour said that Ms.,neutral,0.3910318613052368,0.0
756,Professor Belkacemi,"Professor Belkacemi, who held Ph.",neutral,0.5786190629005432,0.0
756,Professor Belkacemi,"In addition to teaching and research, Professor Belkacemi consulted on the design of food processing equipment and factories.",neutral,0.6130039691925049,0.0
756,Professor Belkacemi,"On Facebook, Professor Belkacemi’s son, Amir, recalled his father’s decision to seek out a better life for his family in Canada.",neutral,0.5261040925979614,0.0
799,Professor Rory Medcalf,"“Trump is needlessly damaging the deep trust that binds one of America’s closest alliances,” said Professor Rory Medcalf, head of the National Security College at the Australian National University in Canberra.",anger,0.48964208364486694,0.0
861,Professor Malegapuru,"The report, by Professor Malegapuru W.",neutral,0.6267873644828796,0.0
861,Professor Makgoba,"“It’s remarkable that only one person has died from a mental   illness,” Professor Makgoba told local new outlets on Wednesday.",surprise,0.6458508372306824,0.0
861,Professor Makgoba,"” None of the care centers had professional doctors, nurses, psychiatrists or other therapists that normally cared for the patients, Professor Makgoba said in a separate interview on Thursday.",neutral,0.8661688566207886,0.0
861,Professor Makgoba,"President Jacob Zuma thanked Professor Makgoba for his report, noting that it would help the government “ensure that such a tragedy does not recur in the health sector,” according to The Associated Press, but many South Africans said they were unconvinced.",fear,0.41805151104927063,0.024
866,Professor Blackman,"“Does the executive order violate the equal protection of the laws, amount to an establishment of religion, violate rights of free exercise, or deprive aliens of due process of law?” Professor Blackman asked.",anger,0.5953497886657715,0.0
868,Professor Bublick,"“We talked about that prior history in relation to that,” Professor Bublick said.",neutral,0.9577003121376038,0.0
951,Professor Lee,"But Professor Lee of the University of Hong Kong said that the second classification did not legally protect buildings from demolition, and that Hong Kong officials  —   unlike their counterparts in Singapore, another wealthy Asian city and former British colony  —   rarely bestowed conservation status on modernist landmarks like the State Theater.",neutral,0.36987051367759705,0.0
1024,Professor Drake,"” Evola’s ideal order, Professor Drake wrote, was based on “hierarchy, caste, monarchy, race, myth, religion and ritual.",neutral,0.5777338147163391,0.0
1060,Professor Smullyan,"Professor Smullyan was a serious mathematician, with the publications and the doctorate to prove it.",sadness,0.5007025599479675,0.0
1060,Professor Smullyan,"With his long white hair and beard, Professor Smullyan resembled Ian McKellen’s wizard, Gandalf, from the “Lord of the Rings” film series.",neutral,0.521158754825592,0.0
1060,Professor Smullyan,"It’s not going to happen in my lifetime!” Melvin Fitting, a retired professor of mathematics, philosophy and computer science at the Graduate Center of the City University of New York, recalled Professor Smullyan’s demeanor as his teacher at Yeshiva University in the 1960s while Professor Fitting was pursuing his doctorate.",disgust,0.5502380728721619,0.0
1060,Professor Fitting,"It’s not going to happen in my lifetime!” Melvin Fitting, a retired professor of mathematics, philosophy and computer science at the Graduate Center of the City University of New York, recalled Professor Smullyan’s demeanor as his teacher at Yeshiva University in the 1960s while Professor Fitting was pursuing his doctorate.",disgust,0.5502380728721619,0.0
1060,Professor Smullyan,"Professor Smullyan saw beauty in the puzzles that he created, seemingly nonstop, over the decades, and viewed them as tools to spread the gospel of mathematics.",neutral,0.6990284323692322,0.0
1060,Professor Rosenhouse,"“It was like fooling a kid into eating his vegetables,” Professor Rosenhouse said in a telephone interview, adding, “Raymond took something like Gödel’s incompleteness theorems and used a string of logic puzzles as a device for presenting them.",neutral,0.479134202003479,0.0
1060,Professor Smullyan,"” Martin Gardner, himself a renowned math puzzler, compared Professor Smullyan to the Oxford logician Charles Dodgson, who also was an author better known by his pen name, Lewis Carroll.",neutral,0.7043390870094299,0.0
1060,Professor Smullyan,Professor Smullyan paid tribute to Carroll in his 1982 book “Alice in  : A Carrollian Tale for Children Under Eighty.,neutral,0.39996469020843506,0.0
1060,Professor Smullyan,"” In one chapter, Professor Smullyan wrote, Alice thinks to herself about how confusing, yet remarkably logical, Humpty Dumpty is.",neutral,0.6064817309379578,0.0
1060,Professor Smullyan,"Professor Smullyan is survived by his stepson, Jack Kotik six   and 16   .",sadness,0.8639388680458069,0.0
1060,Professor Smullyan,Professor Smullyan said that to be paid so much was unfair.,anger,0.6768283843994141,0.0
1108,Professor Schweitzer,"We don’t want to pick sides,’” said Professor Schweitzer, of the Wharton School.",neutral,0.48822420835494995,0.0
1108,Professor Schweitzer,"“But Howard Schultz is positioning Starbucks as a more   place,” Professor Schweitzer continued.",disgust,0.5467402935028076,0.0
1119,Professor Collier,"“Analogous to climate change, we do not know how large an unabsorbed diaspora would need to be before it significantly weakened the mutual regard on which the   societies depend,” Professor Collier wrote.",neutral,0.7873050570487976,0.031
1119,Professor Borjas,The growing wage gap identified by Professor Borjas may relate to things other than the immigrants’ own qualities  —   like rising income inequality in the United States.,sadness,0.2941751480102539,0.038
1149,Professor Corlette,"“These insurance companies are having to make business decisions in an environment of great uncertainty,” Professor Corlette said.",fear,0.6779825687408447,0.0
1183,Professor Walsh,"” Professor Walsh added that Sergeant McCabe “had stepped over to the other side of the line between ‘them’ and ‘us,’ ” and compared the case to that of Detective Serpico.",neutral,0.692555844783783,0.0
1200,Professor Schall,"“We were surprised,” Professor Schall said.",surprise,0.9794288277626038,0.0
1200,Mr Roth,"Mr Roth estimated that about 20 Wesleyan students annually graduate in three years, up from roughly three a year before they made the option official.",neutral,0.7016596794128418,0.0
