Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,URL,FindACopy,Database
Protect Our Democracy. Support Local News.: [Op-Ed]: [Op-Ed],2748679644,newspapers,"Polgreen, Lydia"," New York Times Co , HuffPost"," Copyright New York Times Company Dec 10, 2022"," Opinions , Commentary"," Dec 10, 2022", English, English, A.22," New York, N.Y.","Dec 10, 2022",New York Times,2022,https://www.proquest.com/newspapers/protect-our-democracy-support-local-news-op-ed/docview/2748679644/se-2?accountid=14026, https://www.nytimes.com/2022/11/29/opinion/charity-holiday-local-journalism.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Protect+Our+Democracy.+Support+Local+News.%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Polgreen%2C+Lydia&amp;rft.aulast=Polgreen&amp;rft.aufirst=Lydia&amp;rft.date=2022-12-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
You've Heard About Taylor Swift. Here's How Live Nation Affects Artists Like Me.: [Op-Ed]: [Op-Ed],2748679633,newspapers,"Lawrence, Clyde"," New York Times Co , Ticketmaster Entertainment Inc , Live Nation Entertainment Inc"," Copyright New York Times Company Dec 10, 2022"," Opinions , Commentary"," Dec 10, 2022", English, English, A.23," New York, N.Y.","Dec 10, 2022",New York Times,2022,https://www.proquest.com/newspapers/youve-heard-about-taylor-swift-heres-how-live/docview/2748679633/se-2?accountid=14026, https://www.nytimes.com/2022/12/10/opinion/taylor-swift-live-nation-clyde-lawrence.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=You%27ve+Heard+About+Taylor+Swift.+Here%27s+How+Live+Nation+Affects+Artists+Like+Me.%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Lawrence%2C+Clyde&amp;rft.aulast=Lawrence&amp;rft.aufirst=Clyde&amp;rft.date=2022-12-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Homelessness in California Is Dire. Here's What You Can Do.: [Op-Ed]: [Op-Ed],2748679616,newspapers,"Manjoo, Farhad"," New York Times Co , Covenant House"," Copyright New York Times Company Dec 10, 2022"," Opinions , Commentary"," Dec 10, 2022", English, English, A.22," New York, N.Y.","Dec 10, 2022",New York Times,2022,https://www.proquest.com/newspapers/homelessness-california-is-dire-heres-what-you/docview/2748679616/se-2?accountid=14026, https://www.nytimes.com/2022/12/02/opinion/charity-holiday-gift-california-homelessness.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Homelessness+in+California+Is+Dire.+Here%27s+What+You+Can+Do.%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Manjoo%2C+Farhad&amp;rft.aulast=Manjoo&amp;rft.aufirst=Farhad&amp;rft.date=2022-12-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
"Assist Yazidi Women, Asylum Seekers And Prisoners of War: [Op-Ed]: [Op-Ed]",2748679602,newspapers,"Garcia-Navarro, Lulu",," Copyright New York Times Company Dec 10, 2022"," Opinions , Commentary"," Dec 10, 2022", English, English, A.22," New York, N.Y.","Dec 10, 2022",New York Times,2022,https://www.proquest.com/newspapers/assist-yazidi-women-asylum-seekers-prisoners-war/docview/2748679602/se-2?accountid=14026, https://www.nytimes.com/2022/11/27/opinion/charity-holiday-gift-conflict.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Assist+Yazidi+Women%2C+Asylum+Seekers+And+Prisoners+of+War%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Garcia-Navarro%2C+Lulu&amp;rft.aulast=Garcia-Navarro&amp;rft.aufirst=Lulu&amp;rft.date=2022-12-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
"Help Desperate Women, and Treat Hungry People With Dignity: [Op-Ed]: [Op-Ed]",2748679590,newspapers,"Goldberg, Michelle",," Copyright New York Times Company Dec 10, 2022"," Opinions , Commentary"," Dec 10, 2022", English, English, A.22," New York, N.Y.","Dec 10, 2022",New York Times,2022,https://www.proquest.com/newspapers/help-desperate-women-treat-hungry-people-with/docview/2748679590/se-2?accountid=14026, https://www.nytimes.com/2022/12/02/opinion/charity-holiday-gift-brigid-alliance-blanchet-house.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Help+Desperate+Women%2C+and+Treat+Hungry+People+With+Dignity%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Goldberg%2C+Michelle&amp;rft.aulast=Goldberg&amp;rft.aufirst=Michelle&amp;rft.date=2022-12-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
A Donation To Honor the Vision Of Dr. Paul Farmer: [Op-Ed]: [Op-Ed],2748679570,newspapers,"Tufekci, Zeynep", Partners in Health," Copyright New York Times Company Dec 10, 2022"," Opinions , Commentary"," Dec 10, 2022", English, English, A.22," New York, N.Y.","Dec 10, 2022",New York Times,2022,https://www.proquest.com/newspapers/donation-honor-vision-dr-paul-farmer-op-ed/docview/2748679570/se-2?accountid=14026, https://www.nytimes.com/2022/12/03/opinion/charity-holiday-gift-partners-in-health.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=A+Donation+To+Honor+the+Vision+Of+Dr.+Paul+Farmer%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Tufekci%2C+Zeynep&amp;rft.aulast=Tufekci&amp;rft.aufirst=Zeynep&amp;rft.date=2022-12-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
My Many Fears About an Upcoming Voyage: [Op-Ed]: [Op-Ed],2748090358,newspapers,"Paul, Pamela",," Copyright New York Times Company Dec 9, 2022"," Opinions , Commentary"," Dec 9, 2022", English, English, A.23," New York, N.Y.","Dec 9, 2022",New York Times,2022,https://www.proquest.com/newspapers/my-many-fears-about-upcoming-voyage-op-ed/docview/2748090358/se-2?accountid=14026, https://www.nytimes.com/2022/12/08/opinion/cruise-ocean-fear-phobia.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=My+Many+Fears+About+an+Upcoming+Voyage%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Paul%2C+Pamela&amp;rft.aulast=Paul&amp;rft.aufirst=Pamela&amp;rft.date=2022-12-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
Reality Winner Tried to Resist And Found Herself Alone: [Op-Ed]: [Op-Ed],2748090316,newspapers,"Stack, Megan K", CrossFit Inc," Copyright New York Times Company Dec 9, 2022"," Opinions , Commentary"," Dec 9, 2022", English, English, A.22," New York, N.Y.","Dec 9, 2022",New York Times,2022,https://www.proquest.com/newspapers/reality-winner-tried-resist-found-herself-alone/docview/2748090316/se-2?accountid=14026, https://www.nytimes.com/2022/12/06/opinion/reality-winner.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Reality+Winner+Tried+to+Resist+And+Found+Herself+Alone%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Stack%2C+Megan+K&amp;rft.aulast=Stack&amp;rft.aufirst=Megan&amp;rft.date=2022-12-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.22&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
The Battle Royale Over Apple's App Store: [Op-Ed]: [Op-Ed],2748090314,newspapers,"Coy, Peter"," Epic Games , Apple Inc"," Copyright New York Times Company Dec 9, 2022"," Opinions , Commentary"," Dec 9, 2022", English, English, A.23," New York, N.Y.","Dec 9, 2022",New York Times,2022,https://www.proquest.com/newspapers/battle-royale-over-apples-app-store-op-ed/docview/2748090314/se-2?accountid=14026, https://www.nytimes.com/2022/12/05/opinion/epic-games-apple-app-store.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=The+Battle+Royale+Over+Apple%27s+App+Store%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Coy%2C+Peter&amp;rft.aulast=Coy&amp;rft.aufirst=Peter&amp;rft.date=2022-12-09&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.23&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
"Xi Loosens Things Up, but It Won't Be Enough: [Op-Ed]: [Op-Ed]",2747780053,newspapers,"Kristof, Nicholas", Communist Party-China," Copyright New York Times Company Dec 8, 2022"," Commentary , Opinions"," Dec 8, 2022", English, English, A.27," New York, N.Y.","Dec 8, 2022",New York Times,2022,https://www.proquest.com/newspapers/xi-loosens-things-up-wont-be-enough-op-ed/docview/2747780053/se-2?accountid=14026, https://www.nytimes.com/2022/12/07/opinion/xi-loosens-up-it-wont-be-enough.html,https://resolver.ebscohost.com/openurl?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anytimes&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times&amp;rft.atitle=Xi+Loosens+Things+Up%2C+but+It+Won%27t+Be+Enough%3A+%5BOp-Ed%5D%3A+%5BOp-Ed%5D&amp;rft.au=Kristof%2C+Nicholas&amp;rft.aulast=Kristof&amp;rft.aufirst=Nicholas&amp;rft.date=2022-12-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.27&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream Collection
