filename,wordcount,valence_min,valence_max,valence_avg,valence_std,extremity_min,extremity_max,extremity_avg,extremity_std,extremity_min_pos,extremity_max_pos,extremity_avg_pos,extremity_std_pos,extremity_min_neg,extremity_max_neg,extremity_avg_neg,extremity_std_neg,extremity_PosMinNeg,emotionality_min,emotionality_max,emotionality_avg,emotionality_std,emotionality_min_pos,emotionality_max_pos,emotionality_avg_pos,emotionality_std_pos,emotionality_min_neg,emotionality_max_neg,emotionality_avg_neg,emotionality_std_neg,emotionality_PosMinNeg,count_unique_evaluative_pos,count_total_evaluative_pos,count_unique_evaluative_neg,count_total_evaluative_neg,count_unique_evaluative,count_total_evaluative,count_evaluative_PosMinNeg,ambivalent,pos_dichotomous,certainty_min,certainty_max,certainty_avg,certainty_std,count_unique_certainty,count_total_certainty
article_001.txt,1595,0.54,7.79,5.066,2.507,0.34,3.96,2.297,1.049,0.34,3.29,2.058,0.941,1.58,3.96,2.844,1.15,-0.787,1.19,6.73,4.273,1.644,1.87,6.42,4.372,1.586,1.19,6.73,4.047,1.881,0.325,12,16,6,7,18,23,9,1,,1.92,8.15,6.153,1.361,41,51
article_002.txt,1625,1.11,8.45,4.426,2.637,0.14,3.95,2.38,1.038,0.34,3.95,2.51,1.09,0.14,3.39,2.272,1.027,0.238,1.79,7.72,4.42,1.667,1.79,6.58,3.899,1.652,2.89,7.72,4.854,1.62,-0.955,10,10,8,12,18,22,-2,1,,1.92,8.15,5.938,1.375,44,51
article_003.txt,1344,1.04,8.45,4.945,2.39,0.07,3.95,2.169,0.985,1.13,3.95,2.376,0.891,0.07,3.46,1.916,1.087,0.461,1.79,6.93,3.906,1.481,1.79,6.18,3.743,1.307,1.97,6.93,4.106,1.729,-0.363,10,11,9,9,19,20,2,1,,0.63,7.81,5.893,1.556,31,34
article_004.txt,1013,0.83,8.12,5.282,2.516,0.38,3.67,2.307,1.121,0.43,3.62,2.402,1.051,0.38,3.67,2.136,1.348,0.266,1.35,8.26,3.979,1.95,2.03,8.26,4.048,1.847,1.35,6.73,3.854,2.348,0.194,8,9,5,5,13,14,4,1,,1.92,7.54,6.152,1.379,23,25
article_005.txt,1119,0.85,8.07,4.219,2.903,0.18,3.65,2.661,0.994,0.7,3.57,2.89,0.99,0.18,3.65,2.501,1.017,0.389,2.11,7.65,5.641,1.604,4.52,7.42,5.873,0.993,2.11,7.65,5.478,1.961,0.395,7,7,9,10,16,17,-3,1,,1.92,8.5,6.34,1.268,29,31
article_006.txt,1337,1.63,8.45,4.916,2.519,0.38,3.95,2.347,0.925,0.86,3.95,2.539,0.843,0.38,2.87,2.116,0.994,0.423,1.19,7.65,3.802,1.656,2.52,6.58,4.134,1.427,1.19,7.65,3.403,1.866,0.731,13,18,7,15,20,33,3,1,,1.92,7.41,6.062,1.345,30,32
article_007.txt,1368,0.76,8.44,4.918,2.713,0.72,3.94,2.559,0.867,1.13,3.94,2.778,0.889,0.72,3.74,2.305,0.8,0.473,1.79,8.03,5.087,1.906,1.79,8.03,4.331,2.006,3.43,7.24,5.96,1.392,-1.629,13,15,8,13,21,28,2,1,,1.46,8.67,6.144,1.498,51,71
article_008.txt,3169,0.53,8.45,2.767,2.511,0.72,3.97,2.908,0.842,1.5,3.95,2.547,0.793,0.72,3.97,3.017,0.838,-0.47,2.46,8.26,5.004,1.767,2.59,8.26,4.421,1.808,2.46,8,5.179,1.747,-0.758,9,9,24,30,33,39,-21,1,,1.92,8.1,6.167,1.277,67,95
article_009.txt,1300,1.12,8.41,5.584,2.667,0.7,3.91,2.667,0.883,0.7,3.91,2.728,0.908,1.19,3.38,2.532,0.911,0.196,1.66,6.42,3.688,1.484,1.66,6.42,3.67,1.604,2.35,5.28,3.726,1.349,-0.056,11,11,5,5,16,16,6,1,,1.92,7.54,5.99,1.55,24,26
article_010.txt,1032,0.72,8.36,5.452,2.524,1.5,3.86,2.542,0.722,1.75,3.86,2.688,0.583,1.5,3.78,2.271,0.917,0.417,1.19,7.77,3.465,1.784,1.55,5.41,3.297,1.258,1.19,7.77,3.777,2.595,-0.48,11,13,6,7,17,20,6,1,,1.92,8.15,6.035,1.393,29,37
